PROSPECTID,Total_TL,Tot_Closed_TL,Tot_Active_TL,Total_TL_opened_L6M,Tot_TL_closed_L6M,pct_tl_open_L6M,pct_tl_closed_L6M,pct_active_tl,pct_closed_tl,Total_TL_opened_L12M,Tot_TL_closed_L12M,pct_tl_open_L12M,pct_tl_closed_L12M,Tot_Missed_Pmnt,Auto_TL,CC_TL,Consumer_TL,Gold_TL,Home_TL,PL_TL,Secured_TL,Unsecured_TL,Other_TL,Age_Oldest_TL,Age_Newest_TL
11996,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,47,47
11997,4,2,2,3,1,0.75,0.25,0.5,0.5,3,1,0.75,0.25,1,2,0,0,2,0,0,4,0,0,52,2
11998,40,34,6,2,1,0.05,0.025,0.15,0.85,4,2,0.1,0.05,0,0,0,0,32,0,0,40,0,8,54,2
11999,2,0,2,1,0,0.5,0,1,0,2,0,1,0,0,1,0,0,1,0,0,2,0,0,12,6
12000,17,16,1,1,0,0.059,0,0.059,0.941,1,0,0.059,0,1,0,0,1,16,0,0,16,1,0,47,2
12001,4,3,1,1,0,0.25,0,0.25,0.75,1,0,0.25,0,0,1,0,0,3,0,0,4,0,0,28,4
12002,9,7,2,0,1,0,0.111,0.222,0.778,0,1,0,0.111,0,1,0,5,1,0,0,3,6,2,90,13
12003,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,34,34
12004,6,5,1,1,0,0.167,0,0.167,0.833,1,1,0.167,0.167,1,0,0,0,6,0,0,6,0,0,48,1
12005,1,0,1,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,7,7
12006,4,1,3,1,0,0.25,0,0.75,0.25,2,0,0.5,0,1,2,0,1,0,0,0,2,2,1,47,5
12007,1,1,0,0,1,0,1,0,1,1,1,1,1,0,0,0,1,0,0,0,0,1,0,12,12
12008,2,0,2,0,0,0,0,1,0,1,0,0.5,0,0,1,0,0,0,0,0,1,1,1,32,10
12009,6,2,4,3,1,0.5,0.167,0.667,0.333,4,1,0.667,0.167,0,1,1,4,0,0,0,1,5,0,107,3
12010,10,6,4,0,0,0,0,0.4,0.6,0,1,0,0.1,4,0,0,0,2,0,1,2,8,7,134,12
12011,2,1,1,1,1,0.5,0.5,0.5,0.5,2,1,1,0.5,0,0,0,2,0,0,0,0,2,0,9,6
12012,1,1,0,0,1,0,1,0,1,0,1,0,1,0,0,0,1,0,0,0,0,1,0,13,13
12013,27,25,2,0,0,0,0,0.074,0.926,0,0,0,0,0,1,0,0,26,0,0,27,0,0,116,19
12014,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,64,64
12015,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,22,22
12016,5,3,2,0,0,0,0,0.4,0.6,0,0,0,0,0,3,0,0,1,1,0,5,0,0,164,20
12017,9,5,4,0,0,0,0,0.444,0.556,0,0,0,0,0,0,0,0,0,2,7,2,7,0,136,14
12018,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,-99999,-99999
12019,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,59,59
12020,2,0,2,1,0,0.5,0,1,0,1,0,0.5,0,1,0,0,2,0,0,0,0,2,0,20,2
12021,1,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,9,9
12022,11,9,2,2,3,0.182,0.273,0.182,0.818,4,6,0.364,0.545,1,0,0,10,0,0,1,0,11,0,36,2
12023,4,1,3,1,0,0.25,0,0.75,0.25,2,0,0.5,0,0,2,0,0,0,0,0,3,1,2,53,6
12024,3,1,2,0,0,0,0,0.667,0.333,1,1,0.333,0.333,1,2,0,0,0,0,0,2,1,1,96,11
12025,20,16,4,1,1,0.05,0.05,0.2,0.8,2,2,0.1,0.1,1,0,0,2,0,1,3,15,5,14,57,4
12026,6,6,0,0,1,0,0.167,0,1,0,1,0,0.167,0,1,0,0,5,0,0,6,0,0,123,52
12027,3,1,2,0,0,0,0,0.667,0.333,2,0,0.667,0,1,0,0,0,0,0,1,2,1,2,31,10
12028,5,2,3,2,2,0.4,0.4,0.6,0.4,2,2,0.4,0.4,0,0,0,4,1,0,0,1,4,0,19,2
12029,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,29,29
12030,1,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,7,7
12031,2,1,1,0,0,0,0,0.5,0.5,1,0,0.5,0,0,1,0,1,0,0,0,1,1,0,104,10
12032,2,2,0,0,0,0,0,0,1,0,1,0,0.5,0,0,0,1,1,0,0,1,1,0,72,22
12033,6,6,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,6,0,4,83,26
12034,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,49,49
12035,15,12,3,1,1,0.067,0.067,0.2,0.8,2,1,0.133,0.067,0,0,0,0,14,0,0,14,1,1,56,5
12036,1,0,1,0,0,0,0,1,0,1,0,1,0,1,0,0,0,1,0,0,1,0,0,8,8
12037,17,15,2,0,0,0,0,0.118,0.882,0,0,0,0,0,0,0,1,16,0,0,16,1,0,58,18
12038,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,49,49
12039,1,0,1,1,0,1,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,4,4
12040,9,1,8,7,0,0.778,0,0.889,0.111,8,0,0.889,0,3,1,0,2,0,0,1,2,7,5,36,3
12041,27,17,10,1,0,0.037,0,0.37,0.63,1,0,0.037,0,4,0,0,0,5,2,2,19,8,18,91,5
12042,1,1,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,1,0,0,34,34
12043,9,6,3,0,0,0,0,0.333,0.667,1,2,0.111,0.222,0,2,0,0,0,2,0,9,0,5,85,7
12044,7,6,1,1,0,0.143,0,0.143,0.857,1,0,0.143,0,0,0,2,3,0,2,0,2,5,0,182,2
12045,3,1,2,1,1,0.333,0.333,0.667,0.333,2,1,0.667,0.333,0,0,0,3,0,0,0,0,3,0,34,3
12046,5,2,3,2,0,0.4,0,0.6,0.4,2,0,0.4,0,3,0,0,0,5,0,0,5,0,0,45,2
12047,9,3,6,4,3,0.444,0.333,0.667,0.333,6,3,0.667,0.333,0,0,0,8,0,0,1,0,9,0,21,2
12048,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,12,12
12049,7,2,5,1,2,0.143,0.286,0.714,0.286,4,2,0.571,0.286,1,3,0,3,1,0,0,4,3,0,38,6
12050,2,1,1,0,0,0,0,0.5,0.5,0,0,0,0,0,1,0,0,0,0,0,2,0,1,87,21
12051,2,0,2,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,1,0,30,18
12052,2,1,1,1,0,0.5,0,0.5,0.5,1,0,0.5,0,0,1,0,0,0,0,0,2,0,1,66,5
12053,1,0,1,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,6,6
12054,2,0,2,0,0,0,0,1,0,2,0,1,0,0,0,0,1,0,0,0,0,2,1,11,11
12055,14,10,4,2,3,0.143,0.214,0.286,0.714,5,4,0.357,0.286,0,1,0,5,3,0,1,8,6,4,107,2
12056,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,13,13
12057,6,4,2,2,1,0.333,0.167,0.333,0.667,3,2,0.5,0.333,2,0,0,0,6,0,0,6,0,0,18,5
12058,10,3,7,2,0,0.2,0,0.7,0.3,4,0,0.4,0,3,2,2,3,0,0,0,2,8,3,102,2
12059,5,2,3,0,0,0,0,0.6,0.4,0,0,0,0,1,1,0,1,0,0,1,2,3,2,57,16
12060,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,18,18
12061,5,1,4,0,0,0,0,0.8,0.2,0,0,0,0,0,1,0,3,0,0,0,1,4,1,83,18
12062,5,5,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,2,0,0,5,0,2,80,61
12063,8,8,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,8,0,0,8,0,0,42,20
12064,5,4,1,0,1,0,0.2,0.2,0.8,1,2,0.2,0.4,0,2,0,0,3,0,0,5,0,0,70,7
12065,4,2,2,1,0,0.25,0,0.5,0.5,1,0,0.25,0,2,1,0,0,3,0,0,4,0,0,38,3
12066,4,2,2,0,0,0,0,0.5,0.5,0,0,0,0,1,0,0,0,0,0,0,3,1,4,85,49
12067,2,0,2,1,0,0.5,0,1,0,1,0,0.5,0,1,2,0,0,0,0,0,2,0,0,24,2
12068,11,9,2,0,2,0,0.182,0.182,0.818,3,3,0.273,0.273,0,0,1,6,4,0,0,4,7,0,185,8
12069,8,6,2,1,1,0.125,0.125,0.25,0.75,1,1,0.125,0.125,2,0,0,0,7,0,1,7,1,0,79,4
12070,2,2,0,0,1,0,0.5,0,1,1,2,0.5,1,0,0,0,2,0,0,0,0,2,0,19,11
12071,2,2,0,0,1,0,0.5,0,1,0,1,0,0.5,0,0,0,2,0,0,0,0,2,0,25,16
12072,1,0,1,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,12,12
12073,2,1,1,0,0,0,0,0.5,0.5,0,0,0,0,0,1,0,0,0,0,1,1,1,0,50,17
12074,4,1,3,1,0,0.25,0,0.75,0.25,2,0,0.5,0,1,1,0,0,0,0,0,4,0,3,21,5
12075,2,2,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,2,0,0,147,115
12076,1,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,1,7,7
12077,9,4,5,0,1,0,0.111,0.556,0.444,3,1,0.333,0.111,0,2,0,4,0,0,1,2,7,2,34,8
12078,4,3,1,0,0,0,0,0.25,0.75,0,0,0,0,1,1,0,1,0,1,1,2,2,0,93,28
12079,3,2,1,0,0,0,0,0.333,0.667,0,2,0,0.667,0,1,0,1,0,0,0,1,2,1,30,20
12080,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,40,40
12081,1,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,8,8
12082,6,3,3,2,2,0.333,0.333,0.5,0.5,2,2,0.333,0.333,1,0,0,3,1,0,1,1,5,1,34,5
12083,10,10,0,0,2,0,0.2,0,1,0,4,0,0.4,0,4,0,2,0,0,3,4,6,1,157,17
12084,3,2,1,2,2,0.667,0.667,0.333,0.667,3,2,1,0.667,0,0,0,0,0,0,0,3,0,3,7,4
12085,20,19,1,0,0,0,0,0.05,0.95,1,1,0.05,0.05,1,0,0,0,20,0,0,20,0,0,98,8
12086,1,0,1,1,0,1,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,5,5
12087,7,3,4,0,0,0,0,0.571,0.429,2,1,0.286,0.143,0,2,0,1,0,0,1,4,3,3,69,11
12088,4,3,1,1,0,0.25,0,0.25,0.75,1,2,0.25,0.5,0,1,0,3,0,0,0,1,3,0,58,5
12089,1,0,1,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,9,9
12090,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,29,29
12091,2,0,2,1,0,0.5,0,1,0,2,0,1,0,1,1,0,0,0,0,0,2,0,1,7,6
12092,3,1,2,0,0,0,0,0.667,0.333,0,0,0,0,0,0,0,2,0,0,0,0,3,1,34,27
12093,8,3,5,2,2,0.25,0.25,0.625,0.375,5,2,0.625,0.25,0,1,0,6,0,0,1,1,7,0,46,2
12094,2,1,1,1,0,0.5,0,0.5,0.5,1,1,0.5,0.5,0,1,0,0,0,0,0,2,0,1,62,6
12095,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,88,88
12096,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,75,75
12097,10,9,1,0,8,0,0.8,0.1,0.9,1,8,0.1,0.8,0,1,0,6,0,0,0,1,9,3,25,12
12098,5,4,1,1,1,0.2,0.2,0.2,0.8,1,1,0.2,0.2,1,0,0,0,0,0,0,5,0,5,48,4
12099,8,3,5,4,0,0.5,0,0.625,0.375,7,2,0.875,0.25,1,0,1,2,0,0,1,3,5,4,132,2
12100,5,4,1,0,0,0,0,0.2,0.8,1,0,0.2,0,0,0,0,1,3,0,0,3,2,1,57,10
12101,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,33,33
12102,1,1,0,0,1,0,1,0,1,1,1,1,1,0,1,0,0,0,0,0,1,0,0,12,12
12103,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,53,53
12104,3,0,3,0,0,0,0,1,0,1,0,0.333,0,0,0,0,2,0,0,0,0,3,1,15,7
12105,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,35,35
12106,4,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4,0,4,35,24
12107,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,17,17
12108,25,11,14,5,0,0.2,0,0.56,0.44,5,0,0.2,0,5,4,0,1,8,0,0,20,5,12,130,3
12109,12,9,3,0,3,0,0.25,0.25,0.75,3,5,0.25,0.417,2,3,0,0,6,0,1,10,2,2,94,8
12110,22,15,7,0,0,0,0,0.318,0.682,3,0,0.136,0,0,0,0,0,7,0,0,7,15,15,68,6
12111,2,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,2,1,31,31
12112,3,2,1,1,1,0.333,0.333,0.333,0.667,1,1,0.333,0.333,1,0,0,0,3,0,0,3,0,0,35,4
12113,3,1,2,1,0,0.333,0,0.667,0.333,2,1,0.667,0.333,1,0,0,0,3,0,0,3,0,0,14,6
12114,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,56,56
12115,4,2,2,1,1,0.25,0.25,0.5,0.5,2,2,0.5,0.5,0,0,0,4,0,0,0,0,4,0,22,6
12116,8,8,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,8,0,6,88,31
12117,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,15,15
12118,1,0,1,1,0,1,0,1,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,4,4
12119,12,8,4,0,0,0,0,0.333,0.667,2,1,0.167,0.083,0,1,0,4,4,0,1,6,6,2,53,12
12120,1,0,1,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,1,1,8,8
12121,4,3,1,0,0,0,0,0.25,0.75,0,0,0,0,0,1,0,0,0,0,0,4,0,3,106,67
12122,1,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,18,18
12123,1,0,1,1,0,1,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,5,5
12124,5,1,4,1,0,0.2,0,0.8,0.2,2,0,0.4,0,4,1,0,0,0,0,0,2,3,4,42,4
12125,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,51,51
12126,4,2,2,0,0,0,0,0.5,0.5,0,1,0,0.25,1,1,0,0,0,0,0,4,0,3,69,24
12127,2,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,97,20
12128,4,0,4,1,0,0.25,0,1,0,2,0,0.5,0,0,0,2,0,0,0,1,1,3,1,27,6
12129,7,5,2,1,1,0.143,0.143,0.286,0.714,2,2,0.286,0.286,0,0,0,0,4,1,0,5,2,2,33,6
12130,2,0,2,1,0,0.5,0,1,0,1,0,0.5,0,2,0,0,1,0,0,0,0,2,1,12,4
12131,1,1,0,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,1,0,16,16
12132,1,0,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,0,0,0,1,0,2,2
12133,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,89,89
12134,3,3,0,0,0,0,0,0,1,0,1,0,0.333,0,1,0,2,0,0,0,1,2,0,50,13
12135,1,0,1,1,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,1,1
12136,1,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,6,6
12137,3,1,2,1,0,0.333,0,0.667,0.333,2,1,0.667,0.333,0,0,0,1,2,0,0,2,1,0,18,5
12138,10,4,6,2,2,0.2,0.2,0.6,0.4,6,2,0.6,0.2,1,2,0,6,0,0,0,2,8,2,123,5
12139,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,26,26
12140,6,3,3,1,1,0.167,0.167,0.5,0.5,3,1,0.5,0.167,1,4,1,0,1,0,0,5,1,0,59,2
12141,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,24,24
12142,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,34,34
12143,16,10,6,2,2,0.125,0.125,0.375,0.625,3,5,0.188,0.312,2,0,1,4,6,0,3,8,8,2,73,4
12144,8,2,6,2,0,0.25,0,0.75,0.25,4,0,0.5,0,2,0,0,2,3,0,0,4,4,3,114,5
12145,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,39,39
12146,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,19,19
12147,6,4,2,2,1,0.333,0.167,0.333,0.667,2,1,0.333,0.167,0,0,0,1,0,0,0,5,1,5,81,4
12148,2,1,1,1,0,0.5,0,0.5,0.5,1,0,0.5,0,0,0,0,2,0,0,0,0,2,0,24,5
12149,2,0,2,1,0,0.5,0,1,0,2,0,1,0,0,0,0,2,0,0,0,0,2,0,9,2
12150,4,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4,0,0,4,0,0,32,21
12151,5,0,5,2,0,0.4,0,1,0,5,0,1,0,1,1,0,4,0,0,0,1,4,0,12,4
12152,43,39,4,0,0,0,0,0.093,0.907,4,4,0.093,0.093,4,0,0,0,30,0,0,43,0,13,130,6
12153,2,1,1,0,0,0,0,0.5,0.5,1,1,0.5,0.5,1,0,0,0,2,0,0,2,0,0,16,7
12154,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,22,22
12155,9,6,3,3,3,0.333,0.333,0.333,0.667,5,3,0.556,0.333,1,0,0,1,3,0,2,3,6,3,71,4
12156,2,1,1,1,0,0.5,0,0.5,0.5,1,1,0.5,0.5,0,1,0,1,0,0,0,1,1,0,34,5
12157,5,1,4,1,1,0.2,0.2,0.8,0.2,3,1,0.6,0.2,0,0,0,1,0,0,0,4,1,4,21,3
12158,4,1,3,2,0,0.5,0,0.75,0.25,2,0,0.5,0,1,0,0,2,2,0,0,2,2,0,34,2
12159,1,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,1,11,11
12160,13,11,2,0,2,0,0.154,0.154,0.846,2,2,0.154,0.154,0,0,0,4,8,0,1,8,5,0,37,7
12161,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,110,110
12162,7,4,3,2,1,0.286,0.143,0.429,0.571,2,1,0.286,0.143,2,3,0,2,0,0,1,3,4,1,64,3
12163,2,1,1,1,1,0.5,0.5,0.5,0.5,2,1,1,0.5,0,1,0,1,0,0,0,1,1,0,10,3
12164,3,2,1,1,0,0.333,0,0.333,0.667,1,0,0.333,0,0,0,0,1,2,0,0,2,1,0,55,4
12165,1,1,0,0,1,0,1,0,1,0,1,0,1,0,0,0,1,0,0,0,0,1,0,13,13
12166,8,5,3,3,2,0.375,0.25,0.375,0.625,4,3,0.5,0.375,2,1,0,0,1,0,0,8,0,6,67,3
12167,6,4,2,0,1,0,0.167,0.333,0.667,0,1,0,0.167,0,1,0,1,3,0,0,4,2,1,82,13
12168,1,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,0,1,0,0,1,0,0,1,1
12169,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,76,76
12170,1,0,1,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,12,12
12171,3,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,2,1,2,114,29
12172,13,10,3,3,1,0.231,0.077,0.231,0.769,3,3,0.231,0.231,2,2,0,0,3,0,0,11,2,8,77,3
12173,6,4,2,0,0,0,0,0.333,0.667,2,0,0.333,0,0,3,0,0,0,2,0,5,1,1,167,10
12174,17,9,8,1,0,0.059,0,0.471,0.529,4,4,0.235,0.235,2,1,4,3,8,0,0,9,8,1,92,0
12175,2,1,1,1,0,0.5,0,0.5,0.5,1,1,0.5,0.5,1,1,0,0,1,0,0,2,0,0,22,2
12176,3,2,1,1,0,0.333,0,0.333,0.667,1,2,0.333,0.667,0,0,0,2,0,0,1,0,3,0,18,5
12177,2,1,1,0,0,0,0,0.5,0.5,1,0,0.5,0,1,0,0,0,1,0,0,2,0,1,35,8
12178,3,3,0,0,0,0,0,0,1,0,2,0,0.667,0,0,0,0,3,0,0,3,0,0,23,19
12179,9,7,2,1,4,0.111,0.444,0.222,0.778,5,7,0.556,0.778,1,0,1,0,8,0,0,8,1,0,17,2
12180,2,1,1,1,0,0.5,0,0.5,0.5,1,1,0.5,0.5,1,1,0,1,0,0,0,1,1,0,18,3
12181,1,1,0,0,1,0,1,0,1,1,1,1,1,0,0,0,1,0,0,0,0,1,0,8,8
12182,18,14,4,1,0,0.056,0,0.222,0.778,2,0,0.111,0,0,1,0,1,13,0,0,15,3,3,88,4
12183,8,5,3,2,0,0.25,0,0.375,0.625,2,1,0.25,0.125,0,2,0,4,0,0,0,4,4,2,125,3
12184,2,0,2,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,2,1,15,15
12185,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,73,73
12186,12,7,5,2,0,0.167,0,0.417,0.583,2,0,0.167,0,2,3,1,2,3,0,1,8,4,2,171,1
12187,2,0,2,1,0,0.5,0,1,0,2,0,1,0,0,1,0,0,1,0,0,2,0,0,10,4
12188,3,1,2,1,1,0.333,0.333,0.667,0.333,3,1,1,0.333,0,0,0,1,0,0,0,2,1,2,9,4
12189,3,2,1,1,1,0.333,0.333,0.333,0.667,2,2,0.667,0.667,1,0,0,0,2,0,0,3,0,1,14,5
12190,9,7,2,0,0,0,0,0.222,0.778,0,0,0,0,0,0,0,0,9,0,0,9,0,0,37,21
12191,3,2,1,0,0,0,0,0.333,0.667,0,0,0,0,0,0,0,0,0,0,0,3,0,3,54,37
12192,8,3,5,3,0,0.375,0,0.625,0.375,4,0,0.5,0,0,0,0,3,0,0,1,3,5,4,42,3
12193,1,0,1,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,9,9
12194,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,15,15
12195,2,1,1,0,0,0,0,0.5,0.5,0,0,0,0,0,2,0,0,0,0,0,2,0,0,74,66
12196,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,55,55
12197,15,8,7,3,1,0.2,0.067,0.467,0.533,4,1,0.267,0.067,0,2,0,0,7,0,0,14,1,6,109,1
12198,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,19,19
12199,4,0,4,1,0,0.25,0,1,0,1,0,0.25,0,0,0,0,4,0,0,0,0,4,0,51,5
12200,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,43,43
12201,2,1,1,0,1,0,0.5,0.5,0.5,0,1,0,0.5,0,1,0,0,0,0,0,2,0,1,63,15
12202,2,0,2,1,0,0.5,0,1,0,1,0,0.5,0,0,1,0,1,0,0,0,1,1,0,26,6
12203,2,1,1,0,0,0,0,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,2,2,76,27
12204,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,76,76
12205,4,4,0,0,0,0,0,0,1,0,1,0,0.25,0,0,0,0,4,0,0,4,0,0,107,16
12206,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,12,12
12207,3,2,1,1,1,0.333,0.333,0.333,0.667,1,1,0.333,0.333,0,0,0,0,0,0,0,3,0,3,29,6
12208,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,24,24
12209,4,1,3,0,0,0,0,0.75,0.25,1,0,0.25,0,0,0,0,2,0,0,0,0,4,2,69,12
12210,1,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,11,11
12211,2,1,1,1,1,0.5,0.5,0.5,0.5,1,1,0.5,0.5,0,0,0,2,0,0,0,0,2,0,12,5
12212,5,2,3,0,0,0,0,0.6,0.4,2,1,0.4,0.2,2,0,0,0,3,1,0,5,0,1,30,10
12213,4,3,1,0,0,0,0,0.25,0.75,0,2,0,0.5,0,0,0,3,0,0,0,0,4,1,37,14
12214,1,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,11,11
12215,1,1,0,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,1,0,16,16
12216,18,10,8,8,4,0.444,0.222,0.444,0.556,11,5,0.611,0.278,4,0,0,4,2,0,0,9,9,12,83,2
12217,8,6,2,0,1,0,0.125,0.25,0.75,0,3,0,0.375,0,2,0,4,0,0,2,2,6,0,207,13
12218,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,32,32
12219,3,0,3,0,0,0,0,1,0,2,0,0.667,0,0,1,0,1,0,0,0,1,2,1,16,8
12220,5,1,4,0,0,0,0,0.8,0.2,2,0,0.4,0,0,1,0,0,0,2,0,3,2,2,62,11
12221,5,1,4,1,0,0.2,0,0.8,0.2,4,1,0.8,0.2,0,0,0,5,0,0,0,0,5,0,17,4
12222,1,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,10,10
12223,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,95,95
12224,2,1,1,0,0,0,0,0.5,0.5,0,0,0,0,0,0,0,1,0,0,0,1,1,1,149,13
12225,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,15,15
12226,5,2,3,0,0,0,0,0.6,0.4,1,0,0.2,0,0,0,1,0,0,4,0,4,1,0,20,10
12227,6,4,2,0,0,0,0,0.333,0.667,0,1,0,0.167,0,0,1,3,0,0,1,0,6,1,85,39
12228,4,3,1,0,1,0,0.25,0.25,0.75,1,1,0.25,0.25,0,1,0,0,3,0,0,4,0,0,30,9
12229,4,2,2,1,1,0.25,0.25,0.5,0.5,1,1,0.25,0.25,0,0,0,2,0,0,0,2,2,2,54,6
12230,2,0,2,1,0,0.5,0,1,0,1,0,0.5,0,1,1,0,1,0,0,0,1,1,0,34,2
12231,1,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,8,8
12232,6,2,4,2,0,0.333,0,0.667,0.333,3,1,0.5,0.167,2,4,0,0,0,1,0,5,1,1,118,4
